label,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80,sample81,sample82,sample83,sample84,sample85
0,1.1905,-0.68446,-0.86997,1.1409,1.2445,-0.70292,-0.89829,-0.71747,-0.8157,-0.88638,-0.99568,-0.90092,-0.90363,0.83018,1.1263,-0.70794,-0.90509,1.1202,1.4444,-0.5867,-0.76195,-0.72092,-0.77573,-0.87398,-0.93993,-0.96286,-0.9516,-0.92734,-0.89781,-0.83584,-0.87339,-0.93783,-0.732,0.97504,1.5629,1.2754,1.1183,-0.41665,-0.74408,-0.71049,-0.7301,1.1111,1.4524,1.505,1.067,-0.49292,-0.77039,1.1651,1.3183,-0.57879,-1.0052,1.1731,1.2518,-0.72333,-0.96592,-0.73909,-0.73316,0.88585,1.5782,1.5069,0.92651,-0.623,-0.71041,-0.76224,-0.85556,1.1211,1.5348,1.3485,1.1729,-0.48027,-0.7736,-0.64251,-0.70081,1.142,1.2382,-0.6335,-0.89481,1.3391,1.2523,-0.72262,-0.96943,1.2278,1.2953,-0.56093,-0.93572
0,-1.2179,-1.2598,-0.023962,1.5497,0.93207,1.1749,-0.064851,-0.93404,-0.032219,1.3995,-0.29711,-1.0972,-0.068956,1.211,-0.078943,-0.99121,0.12769,1.5989,-0.2832,-0.89816,-1.1497,-1.2341,-0.17824,1.4344,1.0159,1.144,-0.26435,-1.077,-1.1994,-1.1169,-0.1427,1.3313,1.1161,1.3402,-0.1929,-0.99204,-1.1378,-1.1934,-0.058491,1.4951,0.016168,-1.209,-0.12513,1.3341,0.90193,1.462,0.011595,-1.1345,-1.1569,-1.1906,-0.26312,1.428,-0.27058,-1.1748,-0.12264,1.3047,-0.20245,-1.1509,-0.043699,1.442,-0.15395,-1.0229,0.13959,1.5277,0.85935,1.2997,-0.20301,-1.0832,-1.2513,-1.0563,-0.065469,1.4408,1.0768,1.48,-0.14861,-1.1698,-1.0954,-1.2873,-0.076484,1.5128,-0.14421,-1.0836,-0.12193,1.4723,-0.38829
0,1.2963,-0.9043,-0.79228,1.0309,1.1723,-0.72989,-0.92599,0.81858,1.1139,-0.91316,-0.98426,0.79198,1.1718,-0.84325,-0.97861,0.93525,1.2303,-0.80514,-1.0912,1.0214,1.2193,-0.95816,-0.99691,0.99672,1.3043,-0.84842,-1.0488,0.86139,1.1779,-1.0737,-0.77019,0.84706,1.0499,-0.88345,-1.0702,0.89731,1.1612,-0.78239,-0.84766,0.76196,1.1031,-1.0192,-1.0419,-1.05,-1.08,0.83331,1.1102,-0.88008,-1.0748,1.0178,1.2133,-1.0988,-1.0415,0.84406,1.116,-0.95255,-0.85752,0.80038,1.1154,-0.89192,-1.0623,0.99893,1.0591,-0.95461,-1.0593,0.88642,1.0515,-1.0619,-1.1139,0.91124,1.1041,-0.96476,-1.0102,0.87403,1.2032,-0.9168,-1.0093,0.89541,1.0473,-0.9705,-0.79816,0.81653,1.0055,-0.75517,-0.95348
0,-0.39027,-1.2209,0.28369,1.4081,-0.57961,-1.2223,0.61797,1.4374,-0.41205,-1.1346,-0.87051,-1.2641,0.21733,1.2985,-0.24358,-1.2762,0.37284,1.3834,1.225,1.1314,-0.25086,-1.2248,0.59949,1.4285,-0.40025,-1.1491,-0.93865,-1.2753,0.1987,1.3068,-0.26692,-1.24,0.14574,1.4012,1.2073,1.3879,-0.20907,-1.2183,0.26787,1.4155,-0.30217,-1.223,-0.8681,-1.1359,0.24338,1.2058,1.3373,1.1634,-0.32667,-1.2679,0.31562,1.4265,-0.38649,-1.1346,-0.97301,-1.1957,0.32614,1.1989,-0.46822,-1.1987,0.43647,1.1838,1.0706,1.4666,-0.064775,-1.111,0.40239,1.427,-0.38129,-1.2666,-1.0631,-1.142,0.23967,1.34,1.0348,1.0606,-0.43345,-1.262,-0.93972,-1.2184,0.22738,1.3753,-0.42188,-1.184,0.5397
0,-0.97739,-0.89148,2.1221,0.85575,-1.0373,-0.0012817,0.76947,0.23836,-0.95871,-0.75006,1.7268,0.65773,1.1583,-0.49745,-0.37858,-0.36523,1.6057,-0.17259,-1.5399,-1.0096,-0.92807,-1.2751,1.918,-0.10589,-0.72652,0.16415,1.2176,0.71099,-0.79765,-0.44721,1.4825,0.12562,0.68021,0.99416,-0.9377,-0.27943,1.0792,0.45531,-0.80054,-0.59855,-0.88589,-0.55174,1.4702,0.67361,-1.4077,-0.3154,1.4034,0.33056,-0.39479,-0.23839,1.8538,0.87143,-1.391,-0.65501,0.75568,1.4715,-1.3361,-0.60399,0.5676,0.3655,-0.98732,-0.23682,0.43477,1.0477,1.9767,0.075305,-1.2176,-1.1097,-1.1847,-0.99963,1.1541,0.15379,-1.1533,-0.6419,0.99943,1.1954,0.80653,0.083952,-0.66761,-1.469,-1.4768,-1.4586,1.016,-0.090499,-0.71906
0,1.537,0.98038,0.95006,0.15029,-1.2635,-0.37062,1.3575,-0.077183,-0.99469,-1.1798,-1.1826,-0.34254,1.0741,0.86175,0.96382,0.045889,-1.2521,-1.1081,-1.2246,-0.36446,1.1643,0.84229,1.064,-0.28529,-1.004,-1.1939,-1.2632,-0.36973,1.4383,-0.15174,-0.92493,-0.38817,1.4206,0.25914,-1.0304,-0.31444,1.5605,0.34669,-0.99342,-0.42267,1.49,1.1119,1.119,-0.060494,-1.1218,-1.0556,-1.0244,-0.35709,1.3777,0.077123,-0.87178,-0.36906,1.5391,1.095,1.0962,0.10211,-1.1733,-1.0914,-1.2716,-0.32127,1.4287,-0.068165,-1.1415,-0.52604,1.5475,0.13142,-0.86705,-0.28559,1.472,1.1699,1.1527,0.14195,-1.2814,-1.0349,-1.2686,-0.40918,1.3619,1.019,1.4321,0.042077,-1.1377,-1.266,-1.1811,-0.36451,1.3272
0,-0.57218,1.8356,1.4274,-1.5772,-1.6743,1.4757,1.5666,0.90346,-0.72028,-1.4432,0.44284,-0.48972,-0.26501,1.0952,0.81023,0.84206,0.2009,-1.0271,-0.23696,-0.72712,-0.81449,0.51617,0.27052,0.22432,0.21045,-1.0496,-0.02155,-0.76266,-0.39564,1.0932,0.69715,0.42696,0.29071,-1.3683,-0.43408,2.276,1.2109,-1.1141,-1.1172,-0.97211,-0.15629,1.2796,0.42201,-1.5649,-1.6626,1.3345,2.6189,1.1006,-0.86322,-1.4464,-0.052538,-0.44723,0.24959,0.84109,0.081497,0.71218,-0.49294,-0.90687,-0.58847,-0.7237,0.012773,0.58661,0.88051,0.78351,0.15886,-1.5382,-0.53337,1.9353,0.71437,-1.5442,-1.4188,-1.3546,0.34983,1.141,0.091156,0.43256,-0.080413,-1.4402,-0.51476,-0.35251,0.19328,0.89397,0.23837,-0.097288,-0.30599
0,0.20157,-0.99157,-1.2224,-0.89494,-0.47952,1.3592,0.96092,1.4704,0.28046,-0.8723,-0.60081,1.4323,0.16342,-1.0852,-1.0646,-1.1771,-0.47616,1.3959,0.25081,-0.77167,-0.47842,1.2082,1.1213,1.2659,0.13278,-0.96137,-1.1961,-0.96084,-0.58327,1.4385,1.0834,1.2671,0.028633,-0.98261,-1.1634,-1.1578,-0.40317,1.3211,1.1912,1.3613,0.13948,-1.0439,-1.2161,-1.1088,-0.41365,1.4493,0.15871,-1.1753,-0.40844,1.3789,0.41028,-0.90126,-0.43385,1.35,0.96163,1.4225,0.23873,-1.1089,-1.2041,-0.96794,-0.4148,1.4995,0.36165,-1.134,-0.34489,1.5065,0.13831,-0.96008,-0.49626,1.3461,1.016,1.4315,0.25181,-1.1278,-1.0702,-1.1049,-0.3817,1.6804,0.95071,1.2571,0.073055,-0.89892,-1.0917,-1.0099,-0.41604
0,0.51351,-1.3382,-0.6734,1.202,0.44675,-1.2681,-0.36464,1.161,0.92378,1.2505,0.45938,-0.98884,-1.1195,-1.2102,-0.66306,1.1265,0.72002,-1.089,-0.45232,1.0875,0.9266,1.1749,0.47132,-1.1261,-1.1091,-1.1878,-0.64011,1.0166,0.34993,-1.1709,-0.75641,1.3159,0.47531,-1.242,-0.60549,1.2147,1.2048,1.1029,0.66673,-1.2325,-1.1827,-1.1329,-0.67074,1.2362,0.92023,1.3187,0.67588,-1.2074,-1.0499,-1.2967,-0.64912,1.1024,1.0149,1.2641,0.68501,-1.0634,-1.0207,-1.3947,-0.69742,1.0278,1.0567,1.072,0.54289,-0.99112,-0.81008,-1.1796,-0.70446,1.095,0.71275,-1.1946,-0.67747,1.2059,0.90556,1.2155,0.66409,-0.9827,-0.45107,1.4297,0.70892,-1.2724,-0.84188,-1.1124,-0.71879,1.0258,0.84899
0,0.59243,0.90403,1.2775,0.85857,-0.60893,-1.0195,0.99618,0.84024,-1.1182,-1.0901,-1.0253,-0.85243,1.3468,1.0092,-0.75348,-1.0255,0.86429,0.84385,1.1697,1.0923,-1.0055,-1.1481,0.47959,0.50744,-1.0682,-0.90645,-1.121,-0.85067,0.98221,0.83086,-1.0261,-1.1239,1.0302,1.3098,0.917,1.3658,-0.93258,-0.76557,-0.93359,-0.98792,0.61131,0.82809,-1.0608,-0.92465,1.1225,1.086,-1.266,-0.82855,1.3398,0.86709,-1.227,-1.227,0.95627,0.73939,-1.2012,-1.1669,0.79395,0.89135,-0.99528,-1.0003,0.53213,0.5976,-1.0417,-1.2301,0.90732,0.802,-0.95846,-0.71644,0.99496,1.2677,1.2199,0.98824,-0.89846,-1.0607,0.88785,0.65303,-1.1305,-0.95382,-0.82547,-1.1539,0.78414,1.365,1.1449,0.74803,-1.116
